"userId","platformType","total_purchases","total_spent","Cluster"
825,"iphone",1,20,"cluster_1"
411,"iphone",0,0,"cluster_1"
1731,"iphone",0,0,"cluster_1"
478,"iphone",0,0,"cluster_1"
1307,"windows",9,14,"cluster_1"
365,"android",2,22,"cluster_1"
375,"iphone",7,77,"cluster_0"
688,"windows",3,3,"cluster_1"
1143,"android",13,36.989999771118164,"cluster_1"
1473,"iphone",0,0,"cluster_1"
1389,"windows",0,0,"cluster_1"
1382,"linux",1,1,"cluster_1"
2071,"iphone",0,0,"cluster_1"
181,"android",0,0,"cluster_1"
1,"android",8,19,"cluster_1"
1892,"linux",11,13,"cluster_1"
1099,"iphone",0,0,"cluster_1"
2281,"iphone",5,47,"cluster_0"
209,"mac",0,0,"cluster_1"
400,"iphone",3,35,"cluster_1"
741,"android",5,13,"cluster_1"
417,"android",8,50,"cluster_0"
430,"android",8,19,"cluster_1"
1806,"iphone",5,33.010000228881836,"cluster_1"
812,"android",0,0,"cluster_1"
1807,"iphone",4,55,"cluster_0"
1935,"windows",1,2,"cluster_1"
1235,"iphone",0,0,"cluster_1"
1766,"windows",0,0,"cluster_1"
715,"iphone",4,55.01000213623047,"cluster_0"
497,"android",2,5,"cluster_1"
967,"iphone",0,0,"cluster_1"
1275,"iphone",0,0,"cluster_1"
1701,"windows",0,0,"cluster_1"
439,"iphone",2,25,"cluster_1"
2295,"linux",5,9,"cluster_1"
1676,"android",0,0,"cluster_1"
1150,"windows",3,3,"cluster_1"
127,"iphone",10,150,"cluster_0"
175,"windows",0,0,"cluster_1"
1804,"iphone",7,65,"cluster_0"
736,"android",9,20,"cluster_1"
2128,"android",4,11,"cluster_1"
1121,"iphone",0,0,"cluster_1"
1808,"android",0,0,"cluster_1"
1136,"iphone",3,32,"cluster_1"
13,"android",4,14,"cluster_1"
1614,"windows",0,0,"cluster_1"
265,"iphone",1,5,"cluster_1"
537,"windows",0,0,"cluster_1"
1845,"android",0,0,"cluster_1"
2354,"iphone",0,0,"cluster_1"
75,"iphone",0,0,"cluster_1"
66,"android",1,3,"cluster_1"
897,"android",0,0,"cluster_1"
73,"iphone",0,0,"cluster_1"
409,"iphone",1,20,"cluster_1"
1820,"iphone",0,0,"cluster_1"
1376,"windows",0,0,"cluster_1"
2117,"iphone",1,10,"cluster_1"
1300,"android",15,46,"cluster_0"
1433,"android",0,0,"cluster_1"
1071,"android",0,0,"cluster_1"
1537,"android",1,2,"cluster_1"
1953,"windows",4,4,"cluster_1"
79,"linux",2,2,"cluster_1"
1027,"iphone",14,169.01000213623047,"cluster_0"
1127,"linux",0,0,"cluster_1"
893,"iphone",0,0,"cluster_1"
1303,"android",1,5,"cluster_1"
283,"windows",0,0,"cluster_1"
90,"android",5,16,"cluster_1"
233,"android",9,28.010000228881836,"cluster_1"
1882,"android",0,0,"cluster_1"
426,"android",7,18,"cluster_1"
2282,"android",0,0,"cluster_1"
1730,"android",5,14,"cluster_1"
1572,"iphone",0,0,"cluster_1"
1922,"android",1,3,"cluster_1"
2199,"android",6,22,"cluster_1"
1026,"iphone",5,70,"cluster_0"
2297,"android",0,0,"cluster_1"
799,"android",0,0,"cluster_1"
1321,"iphone",4,63,"cluster_0"
2204,"iphone",0,0,"cluster_1"
1088,"iphone",0,0,"cluster_1"
751,"android",5,12.989999771118164,"cluster_1"
538,"android",0,0,"cluster_1"
2151,"android",0,0,"cluster_1"
1444,"iphone",5,67,"cluster_0"
1717,"iphone",5,55,"cluster_0"
448,"android",7,18.010000228881836,"cluster_1"
1450,"android",4,11,"cluster_1"
911,"android",0,0,"cluster_1"
728,"iphone",1,3,"cluster_1"
849,"iphone",0,0,"cluster_1"
1628,"android",0,0,"cluster_1"
39,"android",0,0,"cluster_1"
1577,"iphone",0,0,"cluster_1"
404,"android",0,0,"cluster_1"
1575,"android",0,0,"cluster_1"
351,"windows",0,0,"cluster_1"
352,"iphone",10,155.01000213623047,"cluster_0"
2221,"iphone",8,93,"cluster_0"
956,"iphone",2,30,"cluster_1"
2182,"windows",5,30,"cluster_1"
2365,"windows",3,3,"cluster_1"
1765,"android",3,9,"cluster_1"
2109,"iphone",0,0,"cluster_1"
1299,"windows",0,0,"cluster_1"
1834,"android",0,0,"cluster_1"
2379,"android",5,22,"cluster_1"
1104,"iphone",0,0,"cluster_1"
1719,"windows",3,6,"cluster_1"
343,"windows",6,11.989999771118164,"cluster_1"
208,"iphone",8,105.01000213623047,"cluster_0"
277,"iphone",3,45,"cluster_0"
153,"android",0,0,"cluster_1"
1017,"iphone",3,50.01000213623047,"cluster_0"
1120,"android",3,9,"cluster_1"
978,"android",0,0,"cluster_1"
1733,"android",0,0,"cluster_1"
975,"iphone",0,0,"cluster_1"
1966,"iphone",1,10,"cluster_1"
253,"android",5,13,"cluster_1"
2255,"android",0,0,"cluster_1"
1919,"android",0,0,"cluster_1"
1509,"mac",0,0,"cluster_1"
180,"android",0,0,"cluster_1"
708,"iphone",0,0,"cluster_1"
239,"iphone",3,20,"cluster_1"
1544,"iphone",5,85,"cluster_0"
410,"android",0,0,"cluster_1"
652,"iphone",0,0,"cluster_1"
1863,"android",8,26,"cluster_1"
1429,"iphone",0,0,"cluster_1"
1495,"iphone",7,95.01000213623047,"cluster_0"
1581,"android",9,58,"cluster_0"
1106,"android",0,0,"cluster_1"
1574,"windows",0,0,"cluster_1"
1545,"android",0,0,"cluster_1"
1465,"android",4,8.009999752044678,"cluster_1"
62,"android",6,16,"cluster_1"
1989,"iphone",5,54,"cluster_0"
1656,"iphone",0,0,"cluster_1"
313,"android",2,5,"cluster_1"
2309,"mac",0,0,"cluster_1"
2161,"android",7,17,"cluster_1"
611,"iphone",5,52,"cluster_0"
2348,"android",0,0,"cluster_1"
966,"iphone",0,0,"cluster_1"
392,"android",0,0,"cluster_1"
713,"iphone",0,0,"cluster_1"
1661,"iphone",0,0,"cluster_1"
1485,"iphone",2,40,"cluster_1"
101,"mac",0,0,"cluster_1"
1555,"iphone",3,28,"cluster_1"
985,"android",7,19,"cluster_1"
161,"windows",0,0,"cluster_1"
653,"iphone",0,0,"cluster_1"
874,"android",2,5,"cluster_1"
433,"iphone",0,0,"cluster_1"
2203,"android",0,0,"cluster_1"
1510,"iphone",0,0,"cluster_1"
1759,"iphone",4,70.01000213623047,"cluster_0"
186,"android",1,3,"cluster_1"
1933,"iphone",0,0,"cluster_1"
1835,"iphone",3,27,"cluster_1"
432,"android",0,0,"cluster_1"
242,"iphone",0,0,"cluster_1"
940,"iphone",0,0,"cluster_1"
1934,"windows",4,25,"cluster_1"
26,"windows",2,2,"cluster_1"
142,"iphone",0,0,"cluster_1"
2231,"iphone",0,0,"cluster_1"
2252,"iphone",0,0,"cluster_1"
2262,"android",0,0,"cluster_1"
1681,"mac",6,17,"cluster_1"
419,"mac",0,0,"cluster_1"
1886,"linux",0,0,"cluster_1"
211,"windows",0,0,"cluster_1"
332,"iphone",0,0,"cluster_1"
1559,"android",0,0,"cluster_1"
800,"windows",0,0,"cluster_1"
559,"iphone",2,12,"cluster_1"
2033,"windows",0,0,"cluster_1"
2092,"iphone",7,63,"cluster_0"
576,"android",0,0,"cluster_1"
769,"android",5,15,"cluster_1"
1140,"android",0,0,"cluster_1"
1512,"iphone",3,45,"cluster_0"
344,"iphone",0,0,"cluster_1"
1260,"iphone",10,133.01000213623047,"cluster_0"
845,"android",0,0,"cluster_1"
415,"iphone",2,25,"cluster_1"
244,"android",9,22,"cluster_1"
1502,"iphone",0,0,"cluster_1"
308,"windows",0,0,"cluster_1"
1315,"windows",10,32.989999771118164,"cluster_1"
1769,"iphone",5,73,"cluster_0"
2025,"iphone",1,5,"cluster_1"
1282,"android",0,0,"cluster_1"
1889,"iphone",5,63,"cluster_0"
717,"windows",5,5,"cluster_1"
1011,"android",7,22,"cluster_1"
2122,"android",1,3,"cluster_1"
2016,"mac",2,21,"cluster_1"
28,"iphone",0,0,"cluster_1"
1367,"windows",3,7,"cluster_1"
1337,"windows",3,6,"cluster_1"
1885,"mac",1,20,"cluster_1"
826,"iphone",0,0,"cluster_1"
899,"windows",0,0,"cluster_1"
1318,"iphone",4,55,"cluster_0"
1584,"windows",0,0,"cluster_1"
561,"android",5,12,"cluster_1"
592,"android",0,0,"cluster_1"
35,"android",0,0,"cluster_1"
248,"iphone",2,20,"cluster_1"
471,"iphone",11,182,"cluster_0"
1155,"iphone",7,64.98999977111816,"cluster_0"
1111,"android",5,18,"cluster_1"
348,"android",0,0,"cluster_1"
2086,"mac",0,0,"cluster_1"
462,"android",7,21,"cluster_1"
65,"android",7,24,"cluster_1"
333,"iphone",4,37,"cluster_1"
1792,"iphone",0,0,"cluster_1"
1328,"android",0,0,"cluster_1"
1297,"iphone",0,0,"cluster_1"
1664,"windows",0,0,"cluster_1"
624,"iphone",11,137.98999977111816,"cluster_0"
34,"iphone",9,95,"cluster_0"
305,"android",5,17,"cluster_1"
2303,"windows",0,0,"cluster_1"
1704,"windows",1,1,"cluster_1"
514,"windows",0,0,"cluster_1"
1527,"windows",2,3,"cluster_1"
356,"iphone",0,0,"cluster_1"
294,"mac",0,0,"cluster_1"
275,"iphone",0,0,"cluster_1"
1815,"iphone",8,83,"cluster_0"
1151,"iphone",0,0,"cluster_1"
1525,"iphone",6,75,"cluster_0"
2259,"linux",2,2,"cluster_1"
1753,"iphone",1,5,"cluster_1"
2085,"iphone",0,0,"cluster_1"
128,"iphone",0,0,"cluster_1"
2389,"android",0,0,"cluster_1"
1091,"mac",5,10,"cluster_1"
2012,"windows",0,0,"cluster_1"
1496,"android",0,0,"cluster_1"
529,"windows",0,0,"cluster_1"
859,"android",0,0,"cluster_1"
1645,"mac",6,14,"cluster_1"
2190,"windows",5,9,"cluster_1"
1066,"android",0,0,"cluster_1"
1735,"android",0,0,"cluster_1"
1950,"windows",0,0,"cluster_1"
2288,"iphone",0,0,"cluster_1"
70,"mac",0,0,"cluster_1"
2008,"android",0,0,"cluster_1"
311,"iphone",0,0,"cluster_1"
1090,"iphone",2,10,"cluster_1"
2269,"windows",3,3,"cluster_1"
1691,"iphone",0,0,"cluster_1"
1101,"android",0,0,"cluster_1"
1206,"android",3,26,"cluster_1"
710,"android",0,0,"cluster_1"
1016,"windows",8,10,"cluster_1"
2216,"iphone",4,60,"cluster_0"
944,"android",0,0,"cluster_1"
236,"android",6,43,"cluster_1"
1783,"iphone",0,0,"cluster_1"
1589,"iphone",0,0,"cluster_1"
1623,"iphone",10,104,"cluster_0"
170,"iphone",0,0,"cluster_1"
2120,"iphone",0,0,"cluster_1"
931,"windows",5,5,"cluster_1"
719,"mac",0,0,"cluster_1"
1434,"android",1,3,"cluster_1"
1237,"iphone",0,0,"cluster_1"
2112,"windows",0,0,"cluster_1"
1351,"iphone",0,0,"cluster_1"
1740,"windows",6,13,"cluster_1"
1848,"android",0,0,"cluster_1"
2209,"android",8,37.02000045776367,"cluster_1"
584,"android",0,0,"cluster_1"
1044,"iphone",3,35,"cluster_1"
1161,"android",4,14.010000228881836,"cluster_1"
526,"iphone",2,40,"cluster_1"
657,"android",0,0,"cluster_1"
1782,"android",10,58,"cluster_0"
604,"linux",0,0,"cluster_1"
23,"android",0,0,"cluster_1"
1746,"iphone",0,0,"cluster_1"
2152,"android",5,15.989999771118164,"cluster_1"
601,"android",0,0,"cluster_1"
1874,"mac",8,41,"cluster_1"
374,"android",9,19,"cluster_1"
1214,"linux",8,8,"cluster_1"
662,"iphone",0,0,"cluster_1"
271,"android",6,15,"cluster_1"
1546,"android",4,29,"cluster_1"
1126,"iphone",0,0,"cluster_1"
1029,"iphone",0,0,"cluster_1"
157,"iphone",4,53,"cluster_0"
575,"iphone",0,0,"cluster_1"
1695,"linux",0,0,"cluster_1"
1729,"iphone",0,0,"cluster_1"
1972,"mac",8,56,"cluster_0"
1355,"android",0,0,"cluster_1"
460,"iphone",0,0,"cluster_1"
548,"mac",0,0,"cluster_1"
757,"android",0,0,"cluster_1"
973,"iphone",5,67,"cluster_0"
1100,"iphone",0,0,"cluster_1"
1891,"iphone",0,0,"cluster_1"
2279,"iphone",0,0,"cluster_1"
1830,"iphone",0,0,"cluster_1"
1936,"android",1,3,"cluster_1"
1413,"android",0,0,"cluster_1"
224,"mac",0,0,"cluster_1"
1240,"windows",0,0,"cluster_1"
770,"iphone",6,80,"cluster_0"
1320,"iphone",4,45,"cluster_0"
1685,"iphone",0,0,"cluster_1"
590,"iphone",7,86.98999786376953,"cluster_0"
2386,"android",1,3,"cluster_1"
2241,"iphone",2,23,"cluster_1"
1114,"iphone",0,0,"cluster_1"
2177,"iphone",4,70,"cluster_0"
1461,"mac",0,0,"cluster_1"
1330,"iphone",0,0,"cluster_1"
628,"windows",2,21,"cluster_1"
1564,"iphone",0,0,"cluster_1"
1700,"android",0,0,"cluster_1"
441,"iphone",0,0,"cluster_1"
2244,"iphone",4,40.01000213623047,"cluster_1"
1872,"iphone",3,39.98999786376953,"cluster_1"
2052,"linux",1,1,"cluster_1"
1034,"iphone",0,0,"cluster_1"
1548,"android",4,12,"cluster_1"
494,"linux",0,0,"cluster_1"
610,"windows",0,0,"cluster_1"
852,"android",0,0,"cluster_1"
292,"windows",0,0,"cluster_1"
1229,"android",0,0,"cluster_1"
1183,"linux",0,0,"cluster_1"
47,"iphone",0,0,"cluster_1"
1686,"iphone",2,30,"cluster_1"
801,"iphone",6,100,"cluster_0"
1946,"android",4,14,"cluster_1"
663,"android",3,14.010000228881836,"cluster_1"
915,"iphone",1,5,"cluster_1"
622,"windows",0,0,"cluster_1"
997,"android",4,27,"cluster_1"
1222,"iphone",0,0,"cluster_1"
1909,"android",0,0,"cluster_1"
2254,"android",8,33,"cluster_1"
366,"android",0,0,"cluster_1"
229,"mac",0,0,"cluster_1"
828,"iphone",1,10,"cluster_1"
2332,"android",2,5,"cluster_1"
1326,"iphone",0,0,"cluster_1"
1684,"iphone",0,0,"cluster_1"
2361,"iphone",2,30,"cluster_1"
1246,"windows",0,0,"cluster_1"
2261,"iphone",0,0,"cluster_1"
1012,"iphone",0,0,"cluster_1"
1280,"android",0,0,"cluster_1"
2260,"iphone",1,20,"cluster_1"
2340,"iphone",5,62,"cluster_0"
674,"iphone",0,0,"cluster_1"
14,"linux",0,0,"cluster_1"
2355,"iphone",9,122.98999786376953,"cluster_0"
1629,"iphone",0,0,"cluster_1"
600,"iphone",0,0,"cluster_1"
962,"iphone",0,0,"cluster_1"
730,"windows",0,0,"cluster_1"
347,"iphone",2,40,"cluster_1"
155,"android",0,0,"cluster_1"
2,"iphone",0,0,"cluster_1"
1690,"linux",7,10,"cluster_1"
679,"windows",0,0,"cluster_1"
547,"linux",0,0,"cluster_1"
1521,"windows",2,3,"cluster_1"
1594,"mac",0,0,"cluster_1"
337,"iphone",0,0,"cluster_1"
564,"linux",8,8,"cluster_1"
1816,"mac",2,13,"cluster_1"
2038,"iphone",0,0,"cluster_1"
2084,"iphone",3,32,"cluster_1"
1068,"linux",0,0,"cluster_1"
102,"iphone",1,10,"cluster_1"
1370,"iphone",7,70,"cluster_0"
1591,"iphone",0,0,"cluster_1"
25,"mac",0,0,"cluster_1"
844,"iphone",5,60,"cluster_0"
1925,"android",1,1,"cluster_1"
403,"iphone",4,80,"cluster_0"
289,"iphone",0,0,"cluster_1"
64,"android",0,0,"cluster_1"
1516,"windows",9,22.989999771118164,"cluster_1"
1270,"iphone",5,70,"cluster_0"
1837,"iphone",7,67,"cluster_0"
1336,"iphone",3,45,"cluster_0"
456,"android",0,0,"cluster_1"
382,"iphone",6,62,"cluster_0"
123,"android",0,0,"cluster_1"
118,"iphone",0,0,"cluster_1"
1824,"iphone",0,0,"cluster_1"
1191,"iphone",0,0,"cluster_1"
367,"windows",9,10,"cluster_1"
1734,"android",6,14,"cluster_1"
38,"iphone",2,30,"cluster_1"
765,"iphone",7,105,"cluster_0"
1480,"android",3,23.010000228881836,"cluster_1"
821,"windows",0,0,"cluster_1"
530,"android",3,9,"cluster_1"
748,"windows",2,2,"cluster_1"
1327,"windows",0,0,"cluster_1"
378,"iphone",1,20,"cluster_1"
1182,"iphone",0,0,"cluster_1"
464,"iphone",5,55,"cluster_0"
2299,"android",4,12,"cluster_1"
500,"windows",5,8,"cluster_1"
2387,"iphone",4,45,"cluster_0"
450,"iphone",0,0,"cluster_1"
2040,"android",0,0,"cluster_1"
508,"android",5,26,"cluster_1"
914,"linux",5,5,"cluster_1"
20,"iphone",0,0,"cluster_1"
1620,"iphone",0,0,"cluster_1"
2194,"iphone",0,0,"cluster_1"
455,"android",7,74,"cluster_0"
46,"windows",0,0,"cluster_1"
1024,"iphone",2,40,"cluster_1"
721,"iphone",2,25,"cluster_1"
1558,"iphone",0,0,"cluster_1"
383,"iphone",1,2,"cluster_1"
1862,"iphone",0,0,"cluster_1"
881,"iphone",10,148,"cluster_0"
174,"android",0,0,"cluster_1"
1146,"mac",5,17,"cluster_1"
2200,"android",0,0,"cluster_1"
511,"iphone",5,100,"cluster_0"
1894,"mac",1,2,"cluster_1"
453,"android",0,0,"cluster_1"
21,"android",8,18.989999771118164,"cluster_1"
2146,"linux",3,4,"cluster_1"
1278,"windows",0,0,"cluster_1"
910,"windows",0,0,"cluster_1"
1166,"iphone",0,0,"cluster_1"
960,"android",0,0,"cluster_1"
1481,"android",0,0,"cluster_1"
2359,"iphone",5,60,"cluster_0"
920,"android",0,0,"cluster_1"
1298,"iphone",0,0,"cluster_1"
191,"android",0,0,"cluster_1"
1069,"windows",4,4.990000247955322,"cluster_1"
2090,"iphone",1,20,"cluster_1"
2013,"iphone",1,5,"cluster_1"
340,"android",0,0,"cluster_1"
424,"android",0,0,"cluster_1"
782,"iphone",0,0,"cluster_1"
2360,"android",0,0,"cluster_1"
1267,"iphone",0,0,"cluster_1"
2168,"android",0,0,"cluster_1"
1657,"iphone",1,20,"cluster_1"
1254,"windows",4,8,"cluster_1"
1933,"android",0,0,"cluster_1"
27,"mac",0,0,"cluster_1"
1538,"iphone",6,77,"cluster_0"
437,"iphone",0,0,"cluster_1"
2383,"android",4,18,"cluster_1"
1915,"iphone",9,120,"cluster_0"
1383,"windows",0,0,"cluster_1"
971,"android",4,19,"cluster_1"
1796,"iphone",0,0,"cluster_1"
2336,"windows",1,1,"cluster_1"
222,"iphone",5,36.989999771118164,"cluster_1"
1038,"android",0,0,"cluster_1"
472,"android",0,0,"cluster_1"
74,"iphone",0,0,"cluster_1"
1948,"linux",1,1,"cluster_1"
279,"windows",6,7,"cluster_1"
390,"linux",8,19.009999752044678,"cluster_1"
108,"iphone",0,0,"cluster_1"
1064,"windows",4,4,"cluster_1"
1081,"iphone",0,0,"cluster_1"
1269,"iphone",0,0,"cluster_1"
1528,"iphone",0,0,"cluster_1"
755,"iphone",2,25,"cluster_1"
904,"android",1,3,"cluster_1"
489,"iphone",0,0,"cluster_1"
2103,"iphone",0,0,"cluster_1"
1457,"windows",9,10,"cluster_1"
2208,"android",5,30,"cluster_1"
2318,"android",0,0,"cluster_1"
2316,"iphone",1,5,"cluster_1"
1756,"android",4,8,"cluster_1"
2048,"iphone",0,0,"cluster_1"
902,"android",0,0,"cluster_1"
2059,"iphone",0,0,"cluster_1"
1014,"android",0,0,"cluster_1"
923,"android",4,21,"cluster_1"
2271,"android",0,0,"cluster_1"
1732,"iphone",12,172,"cluster_0"
358,"android",5,31.010000228881836,"cluster_1"
256,"android",2,23,"cluster_1"
1216,"iphone",0,0,"cluster_1"
1752,"android",0,0,"cluster_1"
525,"iphone",0,0,"cluster_1"
2368,"iphone",3,20,"cluster_1"
1640,"iphone",6,70,"cluster_0"
1665,"linux",0,0,"cluster_1"
1356,"android",0,0,"cluster_1"
1823,"iphone",0,0,"cluster_1"
103,"windows",0,0,"cluster_1"
1393,"linux",7,16,"cluster_1"
832,"iphone",0,0,"cluster_1"
943,"iphone",7,75,"cluster_0"
130,"android",0,0,"cluster_1"
1658,"iphone",5,65,"cluster_0"
591,"windows",0,0,"cluster_1"
306,"windows",4,4,"cluster_1"
2009,"iphone",6,70,"cluster_0"
16,"android",0,0,"cluster_1"
531,"android",1,3,"cluster_1"
1957,"android",2,8,"cluster_1"
1632,"android",0,0,"cluster_1"
212,"android",6,18,"cluster_1"
221,"iphone",11,122.01000213623047,"cluster_0"
670,"iphone",10,143.01000213623047,"cluster_0"
900,"linux",0,0,"cluster_1"
1243,"windows",0,0,"cluster_1"
184,"iphone",0,0,"cluster_1"
2081,"android",6,40,"cluster_1"
1159,"iphone",0,0,"cluster_1"
929,"android",0,0,"cluster_1"
371,"android",5,36,"cluster_1"
2293,"iphone",6,60,"cluster_0"
2056,"android",0,0,"cluster_1"
1530,"iphone",1,10,"cluster_1"
447,"iphone",0,0,"cluster_1"
1226,"android",4,13.010000228881836,"cluster_1"
1384,"android",7,19,"cluster_1"
1612,"android",0,0,"cluster_1"
1422,"android",9,50.010000228881836,"cluster_0"
48,"android",0,0,"cluster_1"
808,"android",4,12,"cluster_1"
1262,"windows",4,6,"cluster_1"
1404,"mac",7,29,"cluster_1"
1453,"iphone",0,0,"cluster_1"
1051,"iphone",2,15,"cluster_1"
701,"windows",4,4,"cluster_1"
1925,"iphone",1,20,"cluster_1"
151,"android",0,0,"cluster_1"
1442,"iphone",0,0,"cluster_1"
1338,"iphone",3,50.01000213623047,"cluster_0"
2149,"android",0,0,"cluster_1"
1142,"iphone",0,0,"cluster_1"
518,"linux",7,7,"cluster_1"
2243,"android",2,8,"cluster_1"
649,"linux",6,6,"cluster_1"
1329,"android",7,21,"cluster_1"
737,"windows",0,0,"cluster_1"
160,"iphone",0,0,"cluster_1"
1500,"android",0,0,"cluster_1"
1201,"iphone",3,50,"cluster_0"
395,"windows",0,0,"cluster_1"
16,"iphone",0,0,"cluster_1"
445,"android",7,22,"cluster_1"
178,"iphone",7,115,"cluster_0"
810,"android",7,26.010000228881836,"cluster_1"
1268,"mac",0,0,"cluster_1"
936,"iphone",2,25,"cluster_1"
1932,"android",0,0,"cluster_1"
1799,"iphone",0,0,"cluster_1"
159,"iphone",0,0,"cluster_1"
1567,"android",12,55,"cluster_0"
210,"android",7,23,"cluster_1"
2127,"linux",6,10,"cluster_1"
2285,"iphone",5,80,"cluster_0"
2078,"windows",0,0,"cluster_1"
689,"android",0,0,"cluster_1"
2154,"iphone",2,40,"cluster_1"
1265,"iphone",0,0,"cluster_1"
1139,"android",0,0,"cluster_1"
1801,"android",5,13,"cluster_1"
357,"android",7,20,"cluster_1"
1273,"windows",6,15,"cluster_1"
2218,"android",5,19.989999771118164,"cluster_1"
1410,"iphone",0,0,"cluster_1"
1055,"windows",2,4,"cluster_1"
1856,"linux",8,8,"cluster_1"
2157,"android",0,0,"cluster_1"
2017,"android",0,0,"cluster_1"
2162,"mac",3,8,"cluster_1"
970,"iphone",9,112.01000213623047,"cluster_0"
243,"linux",9,10.980000495910645,"cluster_1"
1675,"iphone",0,0,"cluster_1"
397,"iphone",3,40,"cluster_1"
1579,"iphone",3,42,"cluster_1"
941,"android",1,3,"cluster_1"
1265,"android",0,0,"cluster_1"
198,"iphone",1,20,"cluster_1"
2376,"android",0,0,"cluster_1"
1552,"android",3,27.989999771118164,"cluster_1"
1790,"android",0,0,"cluster_1"
2214,"windows",0,0,"cluster_1"
1720,"iphone",0,0,"cluster_1"
2267,"linux",0,0,"cluster_1"
1803,"iphone",3,45,"cluster_0"
969,"iphone",3,45,"cluster_0"
984,"linux",2,2,"cluster_1"
1448,"linux",0,0,"cluster_1"
355,"iphone",10,127.01000213623047,"cluster_0"
1639,"iphone",9,135.01000213623047,"cluster_0"
740,"iphone",5,80.01000213623047,"cluster_0"
339,"android",0,0,"cluster_1"
2153,"iphone",1,10,"cluster_1"
1264,"linux",10,15,"cluster_1"
1576,"android",0,0,"cluster_1"
1412,"android",0,0,"cluster_1"
2343,"android",4,31,"cluster_1"
777,"android",0,0,"cluster_1"
824,"windows",4,7,"cluster_1"
648,"iphone",0,0,"cluster_1"
1112,"linux",1,1,"cluster_1"
2374,"android",0,0,"cluster_1"
76,"windows",10,21,"cluster_1"
113,"windows",6,7,"cluster_1"
326,"android",0,0,"cluster_1"
2106,"iphone",0,0,"cluster_1"
668,"linux",0,0,"cluster_1"
1089,"windows",4,5,"cluster_1"
94,"android",0,0,"cluster_1"
783,"android",0,0,"cluster_1"
2010,"android",0,0,"cluster_1"
1588,"android",7,19,"cluster_1"
1224,"iphone",0,0,"cluster_1"
846,"iphone",2,40,"cluster_1"
1093,"android",3,9,"cluster_1"
498,"android",5,39,"cluster_1"
2275,"linux",0,0,"cluster_1"
2250,"iphone",0,0,"cluster_1"
1402,"windows",3,21.989999771118164,"cluster_1"
807,"linux",3,3,"cluster_1"
1498,"linux",0,0,"cluster_1"
168,"iphone",3,50,"cluster_0"
67,"iphone",0,0,"cluster_1"
1353,"android",0,0,"cluster_1"
1082,"iphone",0,0,"cluster_1"
1945,"windows",6,6,"cluster_1"
1760,"android",5,34,"cluster_1"
1881,"iphone",0,0,"cluster_1"
204,"windows",0,0,"cluster_1"
81,"android",0,0,"cluster_1"
1249,"windows",4,8,"cluster_1"
134,"android",3,8.010000228881836,"cluster_1"
1204,"android",0,0,"cluster_1"
1164,"iphone",0,0,"cluster_1"
544,"iphone",0,0,"cluster_1"
377,"android",0,0,"cluster_1"
2320,"iphone",3,45,"cluster_0"
1154,"android",0,0,"cluster_1"
1775,"android",0,0,"cluster_1"
1199,"iphone",0,0,"cluster_1"
1547,"iphone",0,0,"cluster_1"
2289,"iphone",0,0,"cluster_1"
